The Goat,Cob Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105761313/the-goat,5.9,40.0005,-105.3895,Cob Rock,Boulder Canyon
Huston Crack,Cob Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105756784/huston-crack,5.9,40.0005,-105.3895,Cob Rock,Boulder Canyon
Brownies In The Basin,Cob Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105756787/brownies-in-the-basin,5.9+,40.0005,-105.3895,Cob Rock,Boulder Canyon
Night Vision,Cob Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105751810/night-vision,5.10b PG13,40.0005,-105.3895,Cob Rock,Boulder Canyon
Corn on the Cob,Cob Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764739/corn-on-the-cob,5.10b/c,40.0005,-105.3895,Cob Rock,Boulder Canyon
Aid Crack,Cob Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748096/aid-crack,5.10d,40.0005,-105.3895,Cob Rock,Boulder Canyon
Face Route,Cob Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106066019/face-route,5.11a X,40.0005,-105.3895,Cob Rock,Boulder Canyon
Thunder Road,Cob Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764868/thunder-road,5.12-,40.0005,-105.3895,Cob Rock,Boulder Canyon
Maid Marian,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748041/maid-marian,5.9,40.0014,-105.3959,Sherwood Forest,Boulder Canyon
The Prince and The Pauper,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106466173/the-prince-and-the-pauper,5.10a,40.0014,-105.3959,Sherwood Forest,Boulder Canyon
Boyz From The Hood,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106050176/boyz-from-the-hood,5.10b,40.0014,-105.3959,Sherwood Forest,Boulder Canyon
Men in Tights,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105760656/men-in-tights,5.10b,40.0014,-105.3959,Sherwood Forest,Boulder Canyon
Tony Bubb's Little Stick,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105762816/tony-bubbs-little-stick,5.10c,40.0014,-105.3959,Sherwood Forest,Boulder Canyon
Tuckered and Fried,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748038/tuckered-and-fried,5.10c,40.0014,-105.3959,Sherwood Forest,Boulder Canyon
Fatman and Robin,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105762801/fatman-and-robin,5.10d,40.0014,-105.3959,Sherwood Forest,Boulder Canyon
Merry Men,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748026/merry-men,5.11a,40.0014,-105.3959,Sherwood Forest,Boulder Canyon
Sheriff's Tariff,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748035/sheriffs-tariff,5.11a/b,40.0014,-105.3959,Sherwood Forest,Boulder Canyon
Robbin' the Hood,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748032/robbin-the-hood,5.11c,40.0014,-105.3959,Sherwood Forest,Boulder Canyon
Prince of Thieves,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748029/prince-of-thieves,5.12b,40.0014,-105.3959,Sherwood Forest,Boulder Canyon
Thanks Bill Left,Bummers Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748157/thanks-bill-left,5.11a R,40.0095,-105.3434,Bummers Rock,Boulder Canyon
Suspended Man,Bummers Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748151/suspended-man,5.12b,40.0095,-105.3434,Bummers Rock,Boulder Canyon
Evening Stroll,The Dome > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106120485/evening-stroll,5.10 R,40.0139,-105.30787,The Dome,Boulder Canyon
Elephantiasis,Second Buttress > Elephant Buttresses > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105759924/elephantiasis,5.10 X,40.0128,-105.308,Second Buttress,Elephant Buttresses
Avalon Rising,Second Buttress > Elephant Buttresses > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105756571/avalon-rising,5.12b,40.0128,-105.308,Second Buttress,Elephant Buttresses
Wingtip,Third Buttress > Elephant Buttresses > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105756865/wingtip,5.10c PG13,40.0125,-105.308,Third Buttress,Elephant Buttresses
Left Wing,Third Buttress > Elephant Buttresses > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105751498/left-wing,5.10c,40.0125,-105.308,Third Buttress,Elephant Buttresses
No Mo' Jo',Third Buttress > Elephant Buttresses > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105756817/no-mo-jo,5.11+,40.0125,-105.308,Third Buttress,Elephant Buttresses
