Of Sound Mind and Body,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/108345966/of-sound-mind-and-body,5.9- PG13,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Crack (right of Interface),Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/107991205/crack-right-of-interface,5.9-,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Ypsilon,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/108051171/ypsilon,5.9-,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Variation to The Virus,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/105922910/variation-to-the-virus,5.9,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Louise,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/105748154/louise,5.9,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Retro-Crack,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/105763335/retro-crack,5.9+,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Louise Arete,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/108345946/louise-arete,5.9+,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Interface Arete,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/112815304/interface-arete,5.9+,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Punkin Puss & Mushmouse aka Bow of the Titanic,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/106379180/punkin-puss-mushmouse-aka-bow-of-the-titanic,5.10a,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Kid's Climb,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/105748166/kids-climb,5.10a,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Tenacious,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/105748202/tenacious,5.10a,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Deck Chairs on the Titanic,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/105748220/deck-chairs-on-the-titanic,5.10a,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Brown Cloud Arête,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/105748247/brown-cloud-arete,5.10-,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Tiny Face,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/107991195/tiny-face,5.10- PG13,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Unknown Crack (Right of The Virus),Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/107438501/unknown-crack-right-of-the-virus,5.10a/b,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Protection From the Virus,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/105748190/protection-from-the-virus,5.10c,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Bolted Line,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/107967595/bolted-line,5.10+,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Tiny Pillar,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/107991188/tiny-pillar,5.10+,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
Unknown Crack,Brown Cloud Rocks > North Table Mountain/Golden Cliffs > Golden > Colorado,https://www.mountainproject.com/route/106708769/unknown-crack,5.10c/d,39.76831,-105.21562,Brown Cloud Rocks,North Table Mountain/Golden Cliffs
