Dihedral Crack aka Red Dihedral,6. Endless Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/106176531/dihedral-crack-aka-red-dihedral,5.9-,39.0726,-106.4513,6. Endless Wall,Monitor Rock
Corona Alley,Mill Creek Crag > Dumont vicinity > Colorado,https://www.mountainproject.com/route/118846825/corona-alley,5.9,39.7838,-105.6242,Mill Creek Crag,Dumont vicinity
Fractals,Mill Creek Dome > Dumont vicinity > Colorado,https://www.mountainproject.com/route/108320082/fractals,5.9,39.7846,-105.622,Mill Creek Dome,Dumont vicinity
Going Greek,1. Butt Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/107230326/going-greek,5.9,39.0726,-106.4513,1. Butt Wall,Monitor Rock
Herbal Essence,Little Eiger > Clear Creek Canyon > Golden > Colorado,https://www.mountainproject.com/route/105867446/herbal-essence,5.9,39.7432,-105.2991,Little Eiger,Clear Creek Canyon
Home Wrecker,East Face aka Clairabell Mine Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/107233036/home-wrecker,5.9,39.0726,-106.4513,East Face aka Clairabell Mine Wall,Monitor Rock
Honey Pot,Mill Creek Crag > Dumont vicinity > Colorado,https://www.mountainproject.com/route/107182008/honey-pot,5.9,39.7838,-105.6242,Mill Creek Crag,Dumont vicinity
Left Cheek,1. Butt Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/106198096/left-cheek,5.9,39.0726,-106.4513,1. Butt Wall,Monitor Rock
Baby Doe,5. Iron Side Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/105755875/baby-doe,5.8,39.0726,-106.4513,5. Iron Side Wall,Monitor Rock
Freeway,Mill Creek Crag > Dumont vicinity > Colorado,https://www.mountainproject.com/route/107262225/freeway,5.8,39.7838,-105.6242,Mill Creek Crag,Dumont vicinity
El Gato Monte,Mill Creek Block > Dumont vicinity > Colorado,https://www.mountainproject.com/route/110674676/el-gato-monte,5.12a,39.7843,-105.6251,Mill Creek Block,Dumont vicinity
Empire of the Fenceless,Easter Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105756790/empire-of-the-fenceless,5.12a,39.9937,-105.41847,Easter Rock,Boulder Canyon
Glory Hole,5. Iron Side Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/105757066/glory-hole,5.12a,39.0726,-106.4513,5. Iron Side Wall,Monitor Rock
Livin' On The Edge,4. Boulder Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/105754564/livin-on-the-edge,5.12a,39.0726,-106.4513,4. Boulder Wall,Monitor Rock
Matchless,3. Trailhead Wall > Monitor Rock > Independence Pass > Colorado,https://www.mountainproject.com/route/114804208/matchless,5.12a,39.0726,-106.4513,3. Trailhead Wall,Monitor Rock
