Branching Out,The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/112092797/branching-out,5.12d,39.5168,-105.3962,The Dungeon,Staunton Rocks
Bunkhouse Barbie's Dream Castle,Sawmill  Wall > Sawmill Crag > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121201141/bunkhouse-barbies-dream-castle,5.9-,39.52299,-105.38838,Sawmill  Wall,Sawmill Crag
Campfire,2. Blazing Saddles > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/113259193/campfire,5.9,39.50346,-105.37002,2. Blazing Saddles,Dines Cliff
Candiru Kisses,Death by Wildlife > Beyond Authority > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/117123537/candiru-kisses,5.11c,39.52441,-105.41653,Death by Wildlife,Beyond Authority
Candygram for Mongo,2. Blazing Saddles > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/110666989/candygram-for-mongo,5.10d,39.50346,-105.37002,2. Blazing Saddles,Dines Cliff
Carpe Diem,Bombardier Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/111783701/carpe-diem,5.10+,39.5165,-105.3978,Bombardier Dome,Staunton Rocks
Cave of Eternal Stench,The Labyrinth > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108154150/cave-of-eternal-stench,5.9-,39.51593,-105.3949,The Labyrinth,Meadow Dome
Cerberus,The Labyrinth > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/109360912/cerberus,5.11b,39.51593,-105.3949,The Labyrinth,Meadow Dome
Chalkdust Tourture,Upper Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/108185756/chalkdust-tourture,5.10,39.51669,-105.39578,Upper Tan Corridor,Tan Corridor
Chimney Route,Chimney Rock > Elk Creek Spires > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/110023016/chimney-route,5.9+,39.50653,-105.4142,Chimney Rock,Elk Creek Spires
Chop Suey Slab,Main Wall > Roughneck Area > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121462205/chop-suey-slab,5.10+,39.52249,-105.39054,Main Wall,Roughneck Area
Cracked Pedestal,Sawmill  Wall > Sawmill Crag > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121302158/cracked-pedestal,5.9,39.52299,-105.38838,Sawmill  Wall,Sawmill Crag
Crane Technique,Sawmill West Buttress > Sawmill Crag > Old Mill Area > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/121215173/crane-technique,5.11a,39.52312,-105.38865,Sawmill West Buttress,Sawmill Crag
Crimson Crime,The Red Wall > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/114233671/crimson-crime,5.9,39.51391,-105.39062,The Red Wall,Staunton State Park
Daedalus,The Dungeon > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/119168667/daedalus,5.12b/c,39.5168,-105.3962,The Dungeon,Staunton Rocks
Dark Knight,Upper Tan Corridor > Tan Corridor > Meadow Dome > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/111708892/dark-knight,5.10,39.51669,-105.39578,Upper Tan Corridor,Tan Corridor
Dark Matter,3. Astronomy Wall > The Pooka > Staunton Rocks > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/113532119/dark-matter,5.9+,39.51539,-105.39388,3. Astronomy Wall,The Pooka
Dine-o-mite,3. Dines Amphitheater > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/118742190/dine-o-mite,5.9+,39.50339,-105.36934,3. Dines Amphitheater,Dines Cliff
Dinedrite,3. Dines Amphitheater > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/118804841/dinedrite,5.10-,39.50339,-105.36934,3. Dines Amphitheater,Dines Cliff
Dineline,3. Dines Amphitheater > Dines Cliff > Staunton State Park > South Platte > Colorado,https://www.mountainproject.com/route/118255605/dineline,5.10c/d,39.50339,-105.36934,3. Dines Amphitheater,Dines Cliff
